timestamp, values
0, 71
1000, 135
2000, 10
3000, 27
4000, 91
5000, 81
6000, 176
7000, 226
8000, 29
9000, 105
10000, 212
11000, 26
12000, 32
13000, 6
14000, 179
15000, 170
16000, 220
17000, 225
18000, 27
19000, 54
20000, 64
21000, 171
22000, 124
23000, 134
24000, 82
25000, 174
26000, 87
27000, 160
28000, 17
29000, 112
30000, 77
31000, 41
32000, 141
33000, 178
34000, 165
35000, 79
36000, 218
37000, 193
38000, 100
39000, 202
40000, 9
41000, 183
42000, 4
43000, 1
44000, 218
45000, 56
46000, 152
47000, 11
48000, 46
49000, 210
50000, 85
51000, 217
52000, 19
53000, 3
54000, 85
55000, 92
56000, 195
57000, 200
58000, 211
59000, 17
60000, 78
61000, 120
62000, 68
63000, 228
64000, 53
65000, 175
66000, 110
67000, 87
68000, 114
69000, 104
70000, 224
71000, 28
72000, 175
73000, 78
74000, 219
75000, 86
76000, 154
77000, 28
78000, 200
79000, 175
80000, 142
81000, 78
82000, 47
83000, 166
84000, 93
85000, 190
86000, 216
87000, 39
88000, 85
89000, 45
90000, 27
91000, 226
92000, 175
93000, 113
94000, 103
95000, 217
96000, 177
97000, 86
98000, 190
99000, 133
100000, 61
101000, 111
102000, 12
103000, 32
104000, 124
105000, 218
106000, 103
107000, 105
108000, 40
109000, 57
110000, 85
111000, 181
112000, 106
113000, 189
114000, 167
115000, 84
116000, 65
117000, 32
118000, 61
119000, 62
120000, 214
121000, 213
122000, 50
123000, 134
124000, 123
125000, 160
126000, 66
127000, 35
128000, 125
129000, 133
130000, 105
131000, 153
132000, 172
133000, 202
134000, 220
135000, 176
136000, 220
137000, 136
138000, 205
139000, 153
140000, 52
141000, 129
142000, 176
143000, 168
144000, 49
145000, 200
146000, 49
147000, 211
148000, 94
149000, 143
150000, 169
151000, 18
152000, 56
153000, 46
154000, 211
155000, 64
156000, 182
157000, 147
158000, 163
159000, 79
160000, 114
161000, 210
162000, 185
163000, 11
164000, 150
165000, 20
166000, 35
167000, 95
168000, 95
169000, 221
170000, 228
171000, 38
172000, 94
173000, 135
174000, 126
175000, 39
176000, 26
177000, 195
178000, 9
179000, 44
180000, 47
181000, 38
182000, 216
183000, 79
184000, 175
185000, 126
186000, 102
187000, 154
188000, 159
189000, 163
190000, 50
191000, 95
192000, 203
193000, 159
194000, 124
195000, 22
196000, 23
197000, 32
198000, 78
199000, 122
200000, 164
